n,pmid,id,source,doi_publication,title,authorString,journalTitle,pubYear,journalIssn,pubType,isOpenAccess,inEPMC,inPMC,hasPDF,hasBook,hasSuppl,citedByCount,hasReferences,hasTextMinedTerms,hasDbCrossReferences,hasLabsLinks,hasTMAccessionNumbers,firstIndexDate,firstPublicationDate,issue,journalVolume,pageInfo,pmcid,pmcid_,pmcid_pmc,pmcid_uid,doi.y,filename,is_relevant_data,is_relevant_code,article,is_open_data,open_data_category,is_open_code,open_data_statements,open_code_statements,is_success,true_open_data,doi_open_data,study_type,dataset_type,Notes,FAIR_level,FAIRness,Findability,Accesibility,Interoperability,Reusability,Findability_level,Accesibility_level,Interoperability_level,Reusability_level,FsF_F1_01D,FsF_F1_02D,FsF_F2_01M,FsF_F3_01M,FsF_F4_01M,FsF_A1_01M,FsF_A1_03D,FsF_A1_02M,FsF_I1_01M,FsF_I1_02M,FsF_I3_01M,FsF_R1_01MD,FsF_R1.1_01M,FsF_R1.2_01M,FsF_R1.3_01M,FsF_R1.3_02D
2081,30304155,30304155,MED,10.1590/2177-6709.23.4.064-071.oar,Evidence in Orthodontics related to qualitative research.,"Almeida AB, Leite ICG, Silva GAD.",Dental Press J Orthod,2018,2176-9451; 2177-6709; ,research-article; review; journal article,Y,Y,N,Y,N,N,1,Y,Y,N,N,N,2018-10-11,2018-08-01,4,23,64-71,PMC6150700,6150700,,6150700,10.1590/2177-6709.23.4.064-071.oar,PMC 6150700.xml,TRUE,FALSE,10.1590/2177-6709.23.4.064-071.oar,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2082,30304156,30304156,MED,10.1590/2177-6709.23.4.072-078.oar,Evaluation of tongue/mandible volume ratio in children with obstructive sleep apnea.,"Hotwani K, Sharma K, Jaiswal A.",Dental Press J Orthod,2018,2176-9451; 2177-6709; ,research-article; journal article,Y,Y,N,Y,N,N,1,Y,Y,N,N,N,2018-10-11,2018-08-01,4,23,72-78,PMC6150701,6150701,,6150701,10.1590/2177-6709.23.4.072-078.oar,PMC 6150701.xml,TRUE,TRUE,10.1590/2177-6709.23.4.072-078.oar,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2083,30304157,30304157,MED,10.1590/2177-6709.23.4.079-087.bbo,Hypodontia of mandibular incisors: considerations on the orthodontic treatment.,"Rédua RB, Rédua PCB.",Dental Press J Orthod,2018,2176-9451; 2177-6709; ,research-article; journal article; case reports,Y,Y,N,Y,N,N,3,Y,Y,N,Y,N,2018-10-11,2018-08-01,4,23,79-87,PMC6150707,6150707,,6150707,10.1590/2177-6709.23.4.079-087.bbo,PMC 6150707.xml,TRUE,TRUE,10.1590/2177-6709.23.4.079-087.bbo,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2084,30304158,30304158,MED,10.1590/2177-6709.23.4.088-093.sar,Plain access to justice and the orthodontist's activity in Brazil: vulnerability in the professional practice in the face of risks of malpractice lawsuits.,"Guedes CRS, Leite ICG, Campos MJDS, Mota Júnior SL, Phiton MM, Vitral RWF.",Dental Press J Orthod,2018,2176-9451; 2177-6709; ,research-article; journal article,Y,Y,N,Y,N,N,2,Y,Y,N,N,N,2018-10-11,2018-08-01,4,23,88-93,PMC6150704,6150704,,6150704,10.1590/2177-6709.23.4.088-093.sar,PMC 6150704.xml,TRUE,TRUE,10.1590/2177-6709.23.4.088-093.sar,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2085,30304159,30304159,MED,10.1590/2177-6709.23.4.43.e1-7.onl,Shear bond strength and adhesive remnant index of orthodontic brackets bonded to enamel using adhesive systems mixed with TiO2 nanoparticles.,"Behnaz M, Dalaie K, Mirmohammadsadeghi H, Salehi H, Rakhshan V, Aslani F.",Dental Press J Orthod,2018,2176-9451; 2177-6709; ,research-article; journal article,Y,Y,N,Y,N,N,4,Y,Y,N,Y,N,2018-10-11,2018-08-01,4,23,43.e1-43.e7,PMC6150699,6150699,,6150699,10.1590/2177-6709.23.4.43.e1-7.onl,PMC 6150699.xml,TRUE,TRUE,10.1590/2177-6709.23.4.43.e1-7.onl,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2086,30304160,30304160,MED,10.1590/2177-6709.23.4.44.e1-8.onl,Assessment of skeletal maturity using the calcification stages of permanent mandibular teeth.,"Kamal AT, Shaikh A, Fida M.",Dental Press J Orthod,2018,2176-9451; 2177-6709; ,research-article; journal article,Y,Y,N,Y,N,N,3,Y,Y,N,N,N,2018-10-11,2018-08-01,4,23,44.e1-44.e8,PMC6150702,6150702,,6150702,10.1590/2177-6709.23.4.44.e1-8.onl,PMC 6150702.xml,TRUE,TRUE,10.1590/2177-6709.23.4.44.e1-8.onl,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2087,30306686,30306686,MED,10.1111/clr.13296,The use of platelet-rich plasma to enhance the outcomes of implant therapy: A systematic review.,"Stähli A, Strauss FJ, Gruber R.",Clin Oral Implants Res,2018,0905-7161; 1600-0501; ,research-article; systematic review; journal article,Y,Y,N,Y,N,N,5,Y,Y,N,Y,N,2018-10-12,2018-10-01,NA,29 Suppl 18,20-36,PMC6221155,6221155,,6221155,10.1111/clr.13296,PMC 6221155.xml,TRUE,TRUE,10.1111/clr.13296,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2088,30306696,30306696,MED,10.1111/clr.13338,Is there an effect of crown-to-implant ratio on implant treatment outcomes? A systematic review.,"Meijer HJA, Boven C, Delli K, Raghoebar GM.",Clin Oral Implants Res,2018,0905-7161; 1600-0501; ,research-article; systematic review; journal article,Y,Y,N,Y,N,N,7,Y,Y,N,Y,N,2018-10-12,2018-10-01,NA,29 Suppl 18,243-252,PMC6221159,6221159,,6221159,10.1111/clr.13338,PMC 6221159.xml,TRUE,TRUE,10.1111/clr.13338,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2089,30306697,30306697,MED,10.1111/clr.13264,How do peri-implant biologic parameters correspond with implant survival and peri-implantitis? A critical review.,"Doornewaard R, Jacquet W, Cosyn J, De Bruyn H.",Clin Oral Implants Res,2018,0905-7161; 1600-0501; ,research-article; review; journal article,Y,Y,N,Y,N,N,15,Y,Y,N,Y,N,2018-10-12,2018-10-01,NA,29 Suppl 18,100-123,PMC6220966,6220966,,6220966,10.1111/clr.13264,PMC 6220966.xml,TRUE,TRUE,10.1111/clr.13264,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2090,30306698,30306698,MED,10.1111/clr.13275,The use of platelet-rich fibrin to enhance the outcomes of implant therapy: A systematic review.,"Strauss FJ, Stähli A, Gruber R.",Clin Oral Implants Res,2018,0905-7161; 1600-0501; ,research-article; systematic review; journal article,Y,Y,N,Y,N,N,19,Y,Y,N,Y,N,2018-10-12,2018-10-01,NA,29 Suppl 18,6-19,PMC6221166,6221166,,6221166,10.1111/clr.13275,PMC 6221166.xml,TRUE,TRUE,10.1111/clr.13275,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2091,30311256,30311256,MED,10.1111/joor.12734,The association between a mixing ability test and patient reported chewing ability in patients treated for oral malignancies.,"de Groot RJ, Rosenberg AJWP, van der Bilt A, Aalto D, Merkx MAW, Speksnijder CM.",J Oral Rehabil,2019,0305-182x; 1365-2842; ,research-article; multicenter study; journal article,Y,Y,N,Y,N,N,3,Y,Y,N,N,N,2018-10-13,2018-11-01,2,46,140-150,PMC7379969,7379969,,7379969,10.1111/joor.12734,PMC 7379969.xml,TRUE,TRUE,10.1111/joor.12734,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2092,30314501,30314501,MED,10.1186/s12903-018-0632-1,"The Oral health status of children with autism Spectrum disorder in KwaZulu-Nata, South Africa.","Naidoo M, Singh S.",BMC Oral Health,2018,1472-6831,"research support, non-u.s. gov't; research-article; journal article",Y,Y,N,Y,N,N,3,Y,Y,N,Y,N,2018-10-13,2018-10-12,1,18,165,PMC6186069,6186069,,6186069,10.1186/s12903-018-0632-1,PMC 6186069.xml,TRUE,TRUE,10.1186/s12903-018-0632-1,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2093,30318565,30318565,MED,10.1186/s40510-018-0237-x,The immediate effect of alternate rapid maxillary expansions and constrictions on the alveolus: a retrospective cone beam computed tomography study.,"Gandedkar NH, Liou EJ.",Prog Orthod,2018,1723-7785; 2196-1042; ,research-article; journal article,Y,Y,N,Y,N,N,4,Y,Y,N,N,N,2018-10-16,2018-10-15,1,19,40,PMC6186528,6186528,,6186528,10.1186/s40510-018-0237-x,PMC 6186528.xml,TRUE,TRUE,10.1186/s40510-018-0237-x,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2094,30326176,30326176,MED,10.1111/idh.12370,Toothbrush wear in relation to toothbrushing effectiveness.,"Van Leeuwen MPC, Van der Weijden FA, Slot DE, Rosema MAM.",Int J Dent Hyg,2019,1601-5029; 1601-5037; ,research-article; evaluation study; journal article,Y,Y,N,Y,N,N,7,Y,Y,N,Y,N,2018-10-17,2018-11-19,1,17,77-84,PMC7379636,7379636,,7379636,10.1111/idh.12370,PMC 7379636.xml,TRUE,TRUE,10.1111/idh.12370,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2095,30329194,30329194,MED,10.1111/jop.12790,Aberrant histone modification and inflammatory cytokine production of peripheral CD4+ T cells in patients with oral lichen planus.,"Shen J, Yin C, Jiang X, Wang X, Yang S, Song G.",J Oral Pathol Med,2019,0904-2512; 1600-0714; ,research-article; journal article,Y,Y,N,Y,N,N,2,Y,Y,N,Y,N,2018-10-18,2018-11-08,2,48,136-142,PMC6588086,6588086,,6588086,10.1111/jop.12790,PMC 6588086.xml,TRUE,TRUE,10.1111/jop.12790,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2096,30338431,30338431,MED,10.1186/s40729-018-0143-5,Thickness of the Schneiderian membrane and its correlation with anatomical structures and demographic parameters using CBCT tomography: a retrospective study.,"Kalyvas D, Kapsalas A, Paikou S, Tsiklakis K.",Int J Implant Dent,2018,2198-4034,research-article; journal article,Y,Y,N,Y,N,N,4,Y,Y,N,N,N,2018-10-20,2018-10-19,1,4,32,PMC6193890,6193890,,6193890,10.1186/s40729-018-0143-5,PMC 6193890.xml,TRUE,TRUE,10.1186/s40729-018-0143-5,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2097,30340570,30340570,MED,10.1186/s12903-018-0634-z,Oral and maxillofacial surgery in patients undergoing dialysis for advanced renal disease: report of five cases.,"Mochizuki Y, Harada H, Yokokawa M, Kinoshita N, Kubota K, Okado T, Fukayama H.",BMC Oral Health,2018,1472-6831,journal article; case reports; case-report,Y,Y,N,Y,N,N,1,Y,Y,N,Y,N,2018-10-20,2018-10-19,1,18,166,PMC6194553,6194553,,6194553,10.1186/s12903-018-0634-z,PMC 6194553.xml,TRUE,FALSE,10.1186/s12903-018-0634-z,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2098,30340623,30340623,MED,10.1186/s12903-018-0633-0,Toothbrushing: to the best of one's abilities is possibly not good enough.,"Deinzer R, Ebel S, Blättermann H, Weik U, Margraf-Stiksrud J.",BMC Oral Health,2018,1472-6831,"research support, non-u.s. gov't; research-article; journal article",Y,Y,N,Y,N,Y,7,Y,Y,N,Y,N,2018-10-20,2018-10-19,1,18,167,PMC6194646,6194646,,6194646,10.1186/s12903-018-0633-0,PMC 6194646.xml,TRUE,TRUE,10.1186/s12903-018-0633-0,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2099,30341256,30341256,MED,10.4317/medoral.22310,Osteoradionecrosis prevalence and associated factors: A ten years retrospective study.,"Pereira IF, Firmino RT, Meira HC, Vasconcelos BC, Noronha VR, Santos VR.",Med Oral Patol Oral Cir Bucal,2018,1698-4447; 1698-6946; ,research-article; journal article,Y,Y,N,Y,N,N,0,Y,Y,N,N,N,2018-10-20,2018-11-01,6,23,e633-e638,PMC6260996,6260996,,6260996,10.4317/medoral.22310,PMC 6260996.xml,TRUE,FALSE,10.4317/medoral.22310,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100,30341258,30341258,MED,10.4317/medoral.22459,Straight and tilted implants for supporting screw-retained full-arch dental prostheses in atrophic maxillae: A 2-year prospective study.,"Menéndez-Collar M, Serrera-Figallo MA, Hita-Iglesias P, Castillo-Oyagüe R, Casar-Espinosa JC, Gutiérrez-Corrales A, Gutiérrez-Perez JL, Torres-Lagares D.",Med Oral Patol Oral Cir Bucal,2018,1698-4447; 1698-6946; ,comparative study; research-article; journal article,Y,Y,N,Y,N,N,1,Y,Y,N,N,N,2018-10-20,2018-11-01,6,23,e733-e741,PMC6260992,6260992,,6260992,10.4317/medoral.22459,PMC 6260992.xml,TRUE,TRUE,10.4317/medoral.22459,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2101,30341259,30341259,MED,10.4317/medoral.22465,Is telephone follow-up really effective in early diagnosis of inflammatory complications after tooth extraction?,"Pippi R, Pietrantoni A, Patini R, Santoro M.",Med Oral Patol Oral Cir Bucal,2018,1698-4447; 1698-6946; ,research-article; randomized controlled trial; journal article,Y,Y,N,Y,N,N,4,Y,Y,N,N,N,2018-10-20,2018-11-01,6,23,e707-e715,PMC6261002,6261002,,6261002,10.4317/medoral.22465,PMC 6261002.xml,TRUE,FALSE,10.4317/medoral.22465,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2102,30341260,30341260,MED,10.4317/medoral.22473,Odontogenic tumours in Nigeria: A multicentre study of 582 cases and review of the literature.,"Aregbesola B, Soyele O, Effiom O, Gbotolorun O, Taiwo O, Amole I.",Med Oral Patol Oral Cir Bucal,2018,1698-4447; 1698-6946; ,multicenter study; review-article; review; journal article,Y,Y,N,Y,N,N,5,Y,Y,N,N,N,2018-10-20,2018-11-01,6,23,e761-e766,PMC6260997,6260997,,6260997,10.4317/medoral.22473,PMC 6260997.xml,TRUE,FALSE,10.4317/medoral.22473,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2103,30341261,30341261,MED,10.4317/medoral.22493,"Comparison of Ondansetron versus Clonidine efficacy for prevention of postoperative pain, nausea and vomiting after orthognathic surgeries: A triple blind randomized controlled trial.","Samieirad S, Sharifian-Attar A, Eshghpour M, Mianbandi V, Shadkam E, Hosseini-Abrishami M, Hashemipour MS.",Med Oral Patol Oral Cir Bucal,2018,1698-4447; 1698-6946; ,comparative study; research-article; randomized controlled trial; journal article,Y,Y,N,Y,N,N,3,Y,Y,N,N,N,2018-10-20,2018-11-01,6,23,e767-e776,PMC6261005,6261005,,6261005,10.4317/medoral.22493,PMC 6261005.xml,TRUE,TRUE,10.4317/medoral.22493,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2104,30341262,30341262,MED,10.4317/medoral.22506,Dental and oral manifestations of celiac disease.,"Cruz IT, Fraiz FC, Celli A, Amenabar JM, Assunção LR.",Med Oral Patol Oral Cir Bucal,2018,1698-4447; 1698-6946; ,research-article; journal article,Y,Y,N,Y,N,N,3,Y,Y,N,N,N,2018-10-20,2018-11-01,6,23,e639-e645,PMC6260995,6260995,,6260995,10.4317/medoral.22506,PMC 6260995.xml,TRUE,TRUE,10.4317/medoral.22506,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2105,30341263,30341263,MED,10.4317/medoral.22576,Preemptive analgesia-related gene and protein expression in third molar surgeries under non steroidal anti-inflammatory drug protocols: A PROSPERO-registered systematic review of clinical studies.,"Medeiros-Albuquerque AF, Sampaio-Melo CM, Studart-Soares EC, Rodrigues-Ribeiro T, Roriz-Fonteles CS, Alves-Pereira KM, Ferreira-Barbosa DA, de-Barros-Silva PG, Gurgel-Costa FW.",Med Oral Patol Oral Cir Bucal,2018,1698-4447; 1698-6946; ,systematic review; review-article; journal article,Y,Y,N,Y,N,N,1,Y,Y,N,N,N,2018-10-20,2018-11-01,6,23,e723-e732,PMC6260993,6260993,,6260993,10.4317/medoral.22576,PMC 6260993.xml,TRUE,TRUE,10.4317/medoral.22576,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2106,30341264,30341264,MED,10.4317/medoral.22580,Efficacy of a mandibular advancement intraoral appliance (MOA) for the treatment of obstructive sleep apnea syndrome (OSAS) in pediatric patients: A pilot-study.,"Modesti-Vedolin G, Chies C, Chaves-Fagondes S, Piza-Pelizzer E, Lima-Grossi M.",Med Oral Patol Oral Cir Bucal,2018,1698-4447; 1698-6946; ,research-article; journal article,Y,Y,N,Y,N,N,0,Y,Y,N,N,N,2018-10-20,2018-11-01,6,23,e656-e663,PMC6260994,6260994,,6260994,10.4317/medoral.22580,PMC 6260994.xml,TRUE,FALSE,10.4317/medoral.22580,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2107,30341265,30341265,MED,10.4317/medoral.22610,Morphological analysis of the skeletal development in lateral cephalometric radiographs of HIV infected children ongoing Highly Active Antiretroviral Therapy.,"Possagno LP, Franco A, Paranhos LR, Grando LJ, de Lima AA, Bezerra IS, Fernandes Â.",Med Oral Patol Oral Cir Bucal,2018,1698-4447; 1698-6946; ,research-article; journal article,Y,Y,N,Y,N,N,1,Y,Y,N,N,N,2018-10-20,2018-11-01,6,23,e691-e697,PMC6261001,6261001,,6261001,10.4317/medoral.22610,PMC 6261001.xml,TRUE,TRUE,10.4317/medoral.22610,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2108,30341266,30341266,MED,10.4317/medoral.22612,Simultaneous and delayed direct sinus lift versus conventional implants: Retrospective study with 5-years minimum follow-up.,"Romero-Millán J, Hernández-Alfaro F, Peñarrocha-Diago M, Soto-Peñaloza D, Peñarrocha-Oltra D, Peñarrocha-Diago MA.",Med Oral Patol Oral Cir Bucal,2018,1698-4447; 1698-6946; ,comparative study; research-article; journal article,Y,Y,N,Y,N,N,2,Y,Y,N,N,N,2018-10-20,2018-11-01,6,23,e752-e760,PMC6261006,6261006,,6261006,10.4317/medoral.22612,PMC 6261006.xml,TRUE,TRUE,10.4317/medoral.22612,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2109,30341267,30341267,MED,10.4317/medoral.22618,Clinicopathological analysis of odontogenic tumors over 22 years period: Experience of a single center in northeastern Brazil.,"de Medeiros WK, da Silva LP, Santos PP, Pinto LP, de Souza LB.",Med Oral Patol Oral Cir Bucal,2018,1698-4447; 1698-6946; ,research-article; journal article,Y,Y,N,Y,N,N,2,Y,Y,N,N,N,2018-10-20,2018-11-01,6,23,e664-e671,PMC6261000,6261000,,6261000,10.4317/medoral.22618,PMC 6261000.xml,TRUE,TRUE,10.4317/medoral.22618,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2110,30341268,30341268,MED,10.4317/medoral.22622,Postoperative effects on lower third molars of using mouthwashes with super-oxidized solution versus 0.2% chlorhexidine gel: A randomized double-blind trial.,"Coello-Gómez A, Navarro-Suárez S, Diosdado-Cano JM, Azcárate-Velazquez F, Bargiela-Pérez P, Serrera-Figallo MA, Torres-Lagares D, Gutiérrez-Pérez JL.",Med Oral Patol Oral Cir Bucal,2018,1698-4447; 1698-6946; ,comparative study; research-article; randomized controlled trial; journal article,Y,Y,N,Y,N,N,3,Y,Y,N,N,N,2018-10-20,2018-11-01,6,23,e716-e722,PMC6260999,6260999,,6260999,10.4317/medoral.22622,PMC 6260999.xml,TRUE,TRUE,10.4317/medoral.22622,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2111,30341269,30341269,MED,10.4317/medoral.22624,Dialysis vintage time has the strongest correlation to psychosocial pattern of oral health-related quality of life - a multicentre cross-sectional study.,"Schmalz G, Dietl M, Vasko R, Müller GA, Rothermund L, Keller F, Ziebolz D, Rasche FM.",Med Oral Patol Oral Cir Bucal,2018,1698-4447; 1698-6946; ,research-article; multicenter study; journal article,Y,Y,N,Y,N,N,2,Y,Y,N,N,N,2018-10-20,2018-11-01,6,23,e698-e706,PMC6261004,6261004,,6261004,10.4317/medoral.22624,PMC 6261004.xml,TRUE,FALSE,10.4317/medoral.22624,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2112,30341270,30341270,MED,10.4317/medoral.22645,20 years of alveolar distraction: A systematic review of the literature.,"Pérez-Sayáns M, Martínez-Martín JM, Chamorro-Petronacci C, Gallas-Torreira M, Marichalar-Mendía X, García-García A.",Med Oral Patol Oral Cir Bucal,2018,1698-4447; 1698-6946; ,systematic review; review-article; journal article,Y,Y,N,Y,N,N,2,Y,Y,N,N,N,2018-10-20,2018-11-01,6,23,e742-e751,PMC6261008,6261008,,6261008,10.4317/medoral.22645,PMC 6261008.xml,TRUE,FALSE,10.4317/medoral.22645,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2113,30341271,30341271,MED,10.4317/medoral.22681,Bifid mandibular condyles: A systematic review.,"Borrás-Ferreres J, Sánchez-Torres A, Gay-Escoda C.",Med Oral Patol Oral Cir Bucal,2018,1698-4447; 1698-6946; ,systematic review; review-article; journal article,Y,Y,N,Y,N,N,1,Y,Y,N,Y,N,2018-10-20,2018-11-01,6,23,e672-e680,PMC6261007,6261007,,6261007,10.4317/medoral.22681,PMC 6261007.xml,TRUE,FALSE,10.4317/medoral.22681,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2114,30341272,30341272,MED,10.4317/medoral.22725,Periodontal treatment on patients with cardiovascular disease: Systematic review and meta-analysis.,"Roca-Millan E, González-Navarro B, Sabater-Recolons MM, Marí-Roig A, Jané-Salas E, López-López J.",Med Oral Patol Oral Cir Bucal,2018,1698-4447; 1698-6946; ,meta-analysis; research-article; systematic review; journal article,Y,Y,N,Y,N,N,9,Y,Y,N,N,N,2018-10-20,2018-11-01,6,23,e681-e690,PMC6261003,6261003,,6261003,10.4317/medoral.22725,PMC 6261003.xml,TRUE,TRUE,10.4317/medoral.22725,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2115,30341273,30341273,MED,10.4317/medoral.22751,A zinc-doped endodontic cement facilitates functional mineralization and stress dissipation at the dentin surface.,"Toledano M, Osorio R, Pérez-Álvarez MC, Osorio E, Lynch CD, Toledano-Osorio M.",Med Oral Patol Oral Cir Bucal,2018,1698-4447; 1698-6946; ,research-article; journal article,Y,Y,N,Y,N,N,0,Y,Y,N,N,N,2018-10-20,2018-11-01,6,23,e646-e655,PMC6260998,6260998,,6260998,10.4317/medoral.22751,PMC 6260998.xml,TRUE,TRUE,10.4317/medoral.22751,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2116,30342497,30342497,MED,10.1186/s12903-018-0584-5,Parenting and oral health in an inner-city environment: a qualitative pilot study.,"Nayee S, Klass C, Findlay G, Gallagher JE.",BMC Oral Health,2018,1472-6831,"research support, non-u.s. gov't; research-article; journal article",Y,Y,N,Y,N,Y,0,Y,Y,N,Y,N,2018-10-22,2018-10-20,1,18,168,PMC6196005,6196005,,6196005,10.1186/s12903-018-0584-5,PMC 6196005.xml,TRUE,FALSE,10.1186/s12903-018-0584-5,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2117,30342522,30342522,MED,10.1186/s12903-018-0629-9,Association between sickle cell disease and the oral health condition of children and adolescents.,"Brandão CF, Oliveira VMB, Santos ARRM, da Silva TMM, Vilella VQC, Simas GGPP, Carvalho LRS, Carvalho RAC, Ladeia AMT.",BMC Oral Health,2018,1472-6831,research-article; journal article,Y,Y,N,Y,N,N,1,Y,Y,N,N,N,2018-10-22,2018-10-20,1,18,169,PMC6196017,6196017,,6196017,10.1186/s12903-018-0629-9,PMC 6196017.xml,TRUE,FALSE,10.1186/s12903-018-0629-9,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2118,30344309,30344309,MED,10.1038/s41368-018-0033-y,ERK phosphorylation functions in invadopodia formation in tongue cancer cells in a novel silicate fibre-based 3D cell culture system.,"Noi M, Mukaisho KI, Yoshida S, Murakami S, Koshinuma S, Adachi T, Machida Y, Yamori M, Nakayama T, Yamamoto G, Sugihara H.",Int J Oral Sci,2018,1674-2818; 2049-3169; ,research-article; journal article,Y,Y,N,Y,N,N,4,Y,Y,N,Y,N,2018-10-22,2018-10-22,4,10,30,PMC6196225,6196225,,6196225,10.1038/s41368-018-0033-y,PMC 6196225.xml,TRUE,FALSE,10.1038/s41368-018-0033-y,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2119,30345472,30345472,MED,10.1186/s40510-018-0239-8,Early Class III treatment with Hybrid-Hyrax - Facemask in comparison to Hybrid-Hyrax-Mentoplate - skeletal and dental outcomes.,"Willmann JH, Nienkemper M, Tarraf NE, Wilmes B, Drescher D.",Prog Orthod,2018,1723-7785; 2196-1042; ,comparative study; research-article; journal article,Y,Y,N,Y,N,N,1,Y,Y,N,Y,N,2018-10-22,2018-10-22,1,19,42,PMC6196146,6196146,,6196146,10.1186/s40510-018-0239-8,PMC 6196146.xml,TRUE,TRUE,10.1186/s40510-018-0239-8,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2120,30345476,30345476,MED,10.1186/s40510-018-0240-2,"Zygomaticomaxillary modifications in the horizontal plane induced by micro-implant-supported skeletal expander, analyzed with CBCT images.","Cantarella D, Dominguez-Mompell R, Moschik C, Sfogliano L, Elkenawy I, Pan HC, Mallya SM, Moon W.",Prog Orthod,2018,1723-7785; 2196-1042; ,research-article; journal article,Y,Y,N,Y,N,N,5,Y,Y,N,Y,N,2018-10-22,2018-10-22,1,19,41,PMC6196147,6196147,,6196147,10.1186/s40510-018-0240-2,PMC 6196147.xml,TRUE,TRUE,10.1186/s40510-018-0240-2,FALSE,,FALSE,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
